id,metric,gemini_2_5_pro,gpt_oss_120b,deepseek_v3_1,qwen3_235b_a22b__2507_tput,gpt_5
0d0d16d0,faithfulness,0.9302325581395348,1.0,0.7352941176470589,0.8888888888888888,0.85
0d0d16d0,factual_correctness,0.89,0.0,0.64,0.33,0.63
0d550543,faithfulness,0.6666666666666666,1.0,0.0,1.0,1.0
0d550543,factual_correctness,0.67,0.0,0.0,0.75,1.0
0da96550,faithfulness,0.8181818181818182,0.5285714285714286,0.5964912280701754,0.7073170731707317,0.4893617021276595
0da96550,factual_correctness,0.16,0.87,0.75,0.64,0.53
0daaa98a,faithfulness,0.8,0.6666666666666666,0.5714285714285714,0.625,0.7142857142857143
0daaa98a,factual_correctness,0.0,0.83,0.83,0.75,0.75
0db27b54,faithfulness,0.3428571428571428,0.1401869158878504,0.68,0.0,0.2857142857142857
0db27b54,factual_correctness,0.31,0.98,0.0,0.0,0.28
0e5c5e48,faithfulness,0.75,0.0,0.6,0.3333333333333333,0.8888888888888888
0e5c5e48,factual_correctness,0.16,0.24,0.68,0.36,0.48
0e6a1b7f,faithfulness,0.7333333333333333,0.96,0.5,0.65,1.0
0e6a1b7f,factual_correctness,0.5,0.57,0.65,0.62,0.82
0e8bab59,faithfulness,0.5416666666666666,0.0,0.4333333333333333,0.40625,0.5227272727272727
0e8bab59,factual_correctness,0.61,0.88,0.81,0.67,0.78
0ef1ea8e,faithfulness,0.9,1.0,0.9230769230769232,0.8928571428571429,1.0
0ef1ea8e,factual_correctness,0.58,0.79,0.6,0.61,0.6
0f66ee0e,faithfulness,1.0,0.6190476190476191,0.6666666666666666,0.6666666666666666,0.75
0f66ee0e,factual_correctness,0.17,0.4,0.42,0.62,0.5
0faa43e5,faithfulness,0.3333333333333333,0.0,0.0,0.2222222222222222,0.0
0faa43e5,factual_correctness,0.0,0.22,0.18,0.27,0.0
10610066,faithfulness,0.5714285714285714,1.0,0.9090909090909092,0.9230769230769232,0.7777777777777778
10610066,factual_correctness,0.3,0.78,0.69,0.71,0.38
10811087,faithfulness,0.5,0.0,0.1428571428571428,0.0,0.0
10811087,factual_correctness,0.21,0.55,0.33,0.45,0.45
10cc6018,faithfulness,1.0,0.9245283018867924,0.7777777777777778,0.9,1.0
10cc6018,factual_correctness,0.41,0.54,0.46,0.59,0.46
10d6f768,faithfulness,0.1176470588235294,0.675,0.5384615384615384,0.45,0.0
10d6f768,factual_correctness,0.65,0.69,0.59,0.67,0.36
10fcf637,faithfulness,1.0,0.0,0.5517241379310345,0.8157894736842105,0.4090909090909091
10fcf637,factual_correctness,0.68,0.85,0.77,0.78,0.65
111e3c78,faithfulness,0.625,0.4090909090909091,0.6923076923076923,0.84375,0.5641025641025641
111e3c78,factual_correctness,0.29,0.51,0.65,0.75,0.55
11dab93a,faithfulness,1.0,0.6666666666666666,1.0,1.0,0.0
11dab93a,factual_correctness,0.86,0.55,0.8,0.94,0.77
1222dcfa,faithfulness,1.0,0.1875,0.0,0.4444444444444444,1.0
1222dcfa,factual_correctness,0.86,0.11,0.2,0.46,0.63
126e5f91,faithfulness,1.0,0.9285714285714286,0.3636363636363636,0.9,0.36
126e5f91,factual_correctness,0.12,0.91,0.22,0.3,0.53
128995bc,faithfulness,0.8333333333333334,0.4736842105263157,0.5,0.3684210526315789,0.625
128995bc,factual_correctness,0.12,0.2,0.41,0.45,0.28
12c4696d,faithfulness,0.7272727272727273,0.8235294117647058,0.875,0.8666666666666667,0.7692307692307693
12c4696d,factual_correctness,0.5,0.57,0.53,0.76,0.0
133a4c15,faithfulness,0.8888888888888888,0.5365853658536586,0.6521739130434783,0.7575757575757576,0.8
133a4c15,factual_correctness,0.15,0.84,0.4,0.69,0.46
139a0415,faithfulness,0.76,0.5121951219512195,0.5862068965517241,0.4827586206896552,0.4042553191489361
139a0415,factual_correctness,0.79,0.91,0.78,0.85,0.92
13d1f47a,faithfulness,0.5384615384615384,0.2608695652173913,0.4285714285714285,0.375,0.3636363636363636
13d1f47a,factual_correctness,0.67,0.87,0.52,0.73,0.67
13e1bb0c,faithfulness,1.0,0.3,0.5,0.6944444444444444,0.5254237288135594
13e1bb0c,factual_correctness,0.8,0.04,0.3,0.21,0.24
14331ce6,faithfulness,1.0,0.0,1.0,0.0,1.0
14331ce6,factual_correctness,0.92,1.0,0.0,0.0,1.0
1463dac0,faithfulness,0.9090909090909092,0.8636363636363636,1.0,0.625,1.0
1463dac0,factual_correctness,0.33,0.53,0.6,0.22,0.6
1477fdef,faithfulness,0.8947368421052632,0.0,0.6428571428571429,0.972972972972973,0.875
1477fdef,factual_correctness,0.5,0.0,0.26,0.59,0.52
147b4cad,faithfulness,0.8181818181818182,0.3333333333333333,0.5,0.3333333333333333,0.0
147b4cad,factual_correctness,0.63,0.31,0.33,0.0,0.0
14d30823,faithfulness,0.6666666666666666,0.0,0.4285714285714285,0.0,0.0
14d30823,factual_correctness,0.73,0.67,0.67,1.0,0.0
14fd39b3,faithfulness,0.8947368421052632,0.9074074074074074,1.0,0.8571428571428571,0.7586206896551724
14fd39b3,factual_correctness,0.67,0.9,0.73,0.71,0.88
1533c65a,faithfulness,0.0,0.0,0.0,0.0,0.0333333333333333
1533c65a,factual_correctness,0.55,0.93,0.82,0.78,0.0
155aa4fb,faithfulness,1.0,0.2727272727272727,0.8461538461538461,1.0,0.8
155aa4fb,factual_correctness,0.15,0.67,0.33,0.32,0.47
159e25ed,faithfulness,0.8333333333333334,0.8181818181818182,0.6363636363636364,0.6756756756756757,0.8461538461538461
159e25ed,factual_correctness,0.24,0.53,0.0,0.57,0.19
15ad26a4,faithfulness,0.7777777777777778,0.8024691358024691,0.7391304347826086,0.6470588235294118,0.925
15ad26a4,factual_correctness,0.57,0.73,0.77,0.69,0.19
167e2665,faithfulness,0.7777777777777778,0.7631578947368421,1.0,0.8,0.6956521739130435
167e2665,factual_correctness,0.32,0.59,0.46,0.5,0.53
16b2ad8d,faithfulness,0.7692307692307693,0.4848484848484848,0.9166666666666666,0.6428571428571429,0.8
16b2ad8d,factual_correctness,0.47,0.41,0.56,0.58,0.52
16ca05cf,faithfulness,0.6666666666666666,0.9285714285714286,0.6,0.5,1.0
16ca05cf,factual_correctness,1.0,0.0,0.67,0.0,0.73
16d50916,faithfulness,0.8333333333333334,0.2941176470588235,0.1428571428571428,0.2857142857142857,0.3333333333333333
16d50916,factual_correctness,0.15,0.67,0.56,0.34,0.41
171e7e29,faithfulness,0.3181818181818182,0.1304347826086956,0.3928571428571428,0.75,0.0
171e7e29,factual_correctness,0.82,0.0,0.0,0.5,0.59
17fb67b7,faithfulness,1.0,0.75,0.8,0.3636363636363636,0.8333333333333334
17fb67b7,factual_correctness,0.53,0.55,0.71,0.0,0.71
18269a3a,faithfulness,1.0,0.74,0.8378378378378378,0.6818181818181818,0.7272727272727273
18269a3a,factual_correctness,0.07,0.27,0.31,0.35,0.32
187d825c,faithfulness,0.9,0.8571428571428571,0.9166666666666666,1.0,1.0
187d825c,factual_correctness,0.33,0.55,0.1,0.33,0.0
188fc1e8,faithfulness,0.9,0.3125,0.8235294117647058,0.7272727272727273,1.0
188fc1e8,factual_correctness,0.0,0.81,0.35,0.55,0.53
1896cd9e,faithfulness,1.0,0.9285714285714286,1.0,0.8666666666666667,0.0
1896cd9e,factual_correctness,0.87,0.88,0.84,0.83,0.92
192855bf,faithfulness,0.875,0.0,0.8666666666666667,0.8695652173913043,0.9047619047619048
192855bf,factual_correctness,0.0,0.0,0.58,0.8,0.54
193dd375,faithfulness,0.0,1.0,0.8571428571428571,0.0,1.0
193dd375,factual_correctness,0.56,0.59,0.59,0.59,0.57
19a1d7bc,faithfulness,1.0,0.0625,0.1333333333333333,0.2857142857142857,0.1153846153846153
19a1d7bc,factual_correctness,0.14,0.72,0.71,0.57,0.15
19b392a0,faithfulness,1.0,1.0,0.2307692307692307,0.3225806451612903,0.53125
19b392a0,factual_correctness,0.0,0.74,0.19,0.82,0.58
19b7c6f7,faithfulness,0.8,1.0,0.8125,0.5416666666666666,1.0
19b7c6f7,factual_correctness,0.44,0.0,0.42,0.67,0.67
19c3f600,faithfulness,1.0,1.0,1.0,0.6206896551724138,1.0
19c3f600,factual_correctness,0.62,0.0,0.57,0.71,0.63
1a51984d,faithfulness,0.5,0.4117647058823529,0.25,0.7142857142857143,0.0
1a51984d,factual_correctness,0.19,0.5,0.33,0.26,0.21
1a6722fd,faithfulness,1.0,0.7647058823529411,1.0,0.9166666666666666,0.8888888888888888
1a6722fd,factual_correctness,0.29,0.57,0.21,0.33,0.2
1b3c8958,faithfulness,0.8,0.3714285714285714,0.7037037037037037,0.0,0.6904761904761905
1b3c8958,factual_correctness,0.4,0.91,0.0,0.0,0.56
1b9cfbba,faithfulness,1.0,0.8888888888888888,1.0,1.0,1.0
1b9cfbba,factual_correctness,0.63,0.53,0.69,0.47,0.0
1bacc152,faithfulness,1.0,0.7692307692307693,0.8,0.875,0.6
1bacc152,factual_correctness,0.71,0.75,0.71,0.71,0.67
1bbe8ace,faithfulness,1.0,0.5777777777777777,0.5625,0.9705882352941176,0.9298245614035088
1bbe8ace,factual_correctness,0.49,0.39,0.46,0.55,0.76
1c407f3a,faithfulness,0.7142857142857143,0.631578947368421,0.7,0.8125,0.6666666666666666
1c407f3a,factual_correctness,0.37,0.52,0.35,0.68,0.83
1c41ffb9,faithfulness,0.8888888888888888,1.0,0.7368421052631579,0.8857142857142857,0.8571428571428571
1c41ffb9,factual_correctness,0.42,0.7,0.46,0.63,0.55
1c47856d,faithfulness,0.8,0.3333333333333333,0.6428571428571429,0.5416666666666666,0.631578947368421
1c47856d,factual_correctness,0.32,0.58,0.23,0.63,0.41
1c9c3a6d,faithfulness,0.9090909090909092,0.0,0.9523809523809524,1.0,0.9444444444444444
1c9c3a6d,factual_correctness,0.71,0.9,0.69,0.74,0.74
1d22646f,faithfulness,1.0,0.4,0.9333333333333332,0.8888888888888888,1.0
1d22646f,factual_correctness,0.69,0.32,0.58,0.44,0.53
1daed389,faithfulness,1.0,0.9871794871794872,0.9583333333333334,1.0,0.9622641509433962
1daed389,factual_correctness,0.74,0.0,0.18,0.56,0.62
1db14ead,faithfulness,0.8571428571428571,0.6129032258064516,0.7857142857142857,0.8307692307692308,0.7333333333333333
1db14ead,factual_correctness,0.49,0.57,0.56,0.65,0.53
1dc1afeb,faithfulness,0.25,0.2222222222222222,0.625,0.1666666666666666,0.625
1dc1afeb,factual_correctness,0.91,0.0,0.43,0.8,0.62
1e11e17f,faithfulness,0.5714285714285714,0.0,0.3888888888888889,0.1818181818181818,0.9615384615384616
1e11e17f,factual_correctness,0.35,0.35,0.52,0.65,0.32
1e547123,faithfulness,1.0,0.8846153846153846,0.75,0.5625,0.7777777777777778
1e547123,factual_correctness,0.27,0.76,0.58,0.6,0.59
1e77e338,faithfulness,0.9166666666666666,0.5925925925925926,0.75,0.75,0.8571428571428571
1e77e338,factual_correctness,0.32,0.51,0.35,0.0,0.36
1ea3766e,faithfulness,0.25,1.0,1.0,1.0,1.0
1ea3766e,factual_correctness,0.57,0.75,0.77,0.73,0.44
1ea6243a,faithfulness,1.0,1.0,0.4545454545454545,1.0,0.8571428571428571
1ea6243a,factual_correctness,0.0,0.0,0.48,0.34,0.67
1ebc9a99,faithfulness,1.0,1.0,1.0,0.8333333333333334,1.0
1ebc9a99,factual_correctness,0.0,0.5,0.19,0.22,0.0
1ed2467d,faithfulness,1.0,0.0869565217391304,0.5384615384615384,0.2222222222222222,0.3333333333333333
1ed2467d,factual_correctness,0.33,0.29,0.64,0.82,0.33
1ed656d8,faithfulness,1.0,0.4186046511627907,0.4375,1.0,1.0
1ed656d8,factual_correctness,0.29,0.58,0.52,0.27,0.0
1ed9d0af,faithfulness,0.0909090909090909,0.25,0.1875,0.0,0.0
1ed9d0af,factual_correctness,0.18,0.48,0.37,0.33,0.45
1f789347,faithfulness,1.0,0.8235294117647058,1.0,0.5,0.7272727272727273
1f789347,factual_correctness,0.38,0.57,0.52,0.69,0.35
1fb441a1,faithfulness,0.5,0.0,0.8,0.0,0.5555555555555556
1fb441a1,factual_correctness,0.57,0.64,0.0,0.0,0.67
206cf371,faithfulness,1.0,0.1891891891891892,0.5909090909090909,0.5,0.4761904761904761
206cf371,factual_correctness,0.14,0.65,0.59,0.52,0.3
20944074,faithfulness,0.9230769230769232,0.8831168831168831,0.8076923076923077,0.96875,0.92
20944074,factual_correctness,0.43,0.57,0.31,0.51,0.42
20a2d62c,faithfulness,0.625,0.1868131868131868,0.4782608695652174,0.5526315789473685,0.15
20a2d62c,factual_correctness,0.4,0.0,0.4,0.52,0.33
20a61525,faithfulness,0.875,0.9534883720930232,0.8333333333333334,1.0,0.0
20a61525,factual_correctness,0.41,0.77,0.55,0.67,0.57
20b15853,faithfulness,1.0,0.0394736842105263,0.1034482758620689,0.4545454545454545,0.75
20b15853,factual_correctness,0.0,0.96,0.42,0.52,0.27
20b31550,faithfulness,0.8888888888888888,0.4042553191489361,0.8461538461538461,0.7647058823529411,1.0
20b31550,factual_correctness,0.72,0.75,0.95,0.83,0.75
215dd8b4,faithfulness,0.0,1.0,0.0,1.0,0.3333333333333333
215dd8b4,factual_correctness,0.8,0.0,0.0,0.8,0.4
21a23946,faithfulness,0.75,0.9333333333333332,1.0,1.0,1.0
21a23946,factual_correctness,0.78,0.86,0.94,0.97,0.95
21f0f4ae,faithfulness,1.0,0.7333333333333333,0.9230769230769232,0.9375,0.8888888888888888
21f0f4ae,factual_correctness,0.82,0.77,0.82,0.0,0.71
2240dfc4,faithfulness,1.0,0.8135593220338984,0.0,0.7142857142857143,1.0
2240dfc4,factual_correctness,0.39,0.0,0.5,0.44,0.89
2253f9e2,faithfulness,0.8333333333333334,0.625,0.75,0.0,0.75
2253f9e2,factual_correctness,0.19,0.31,0.52,0.64,0.35
226abecd,faithfulness,0.8125,0.0,0.5,0.5185185185185185,1.0
226abecd,factual_correctness,0.23,0.0,0.47,0.64,0.88
2284d0ac,faithfulness,1.0,0.3230769230769231,0.8461538461538461,0.5952380952380952,0.5384615384615384
2284d0ac,factual_correctness,0.47,0.82,0.36,0.75,0.62
22c697ef,faithfulness,0.7857142857142857,0.625,0.7258064516129032,0.8571428571428571,0.9782608695652174
22c697ef,factual_correctness,0.18,0.69,0.55,0.4,0.58
22df4a98,faithfulness,1.0,0.0,0.7777777777777778,0.6666666666666666,0.3333333333333333
22df4a98,factual_correctness,0.0,0.07,0.51,0.35,0.0
23536c89,faithfulness,1.0,0.4772727272727273,0.9230769230769232,0.0,0.7380952380952381
23536c89,factual_correctness,0.43,0.75,0.38,0.75,0.67
236f2bb2,faithfulness,0.7647058823529411,0.0,0.9230769230769232,0.9375,1.0
236f2bb2,factual_correctness,0.52,0.82,0.59,0.65,0.46
2373efc3,faithfulness,0.8888888888888888,0.1363636363636363,1.0,0.8,0.1568627450980392
2373efc3,factual_correctness,0.11,0.77,0.31,0.0,0.33
23862201,faithfulness,0.75,0.2156862745098039,0.4,0.9230769230769232,0.45
23862201,factual_correctness,0.1,0.53,0.51,0.32,0.3
23866b71,faithfulness,0.9090909090909092,0.7,0.4615384615384615,0.2727272727272727,0.8125
23866b71,factual_correctness,0.36,0.67,0.0,0.48,0.0
23d3835c,faithfulness,0.4,0.0,0.282051282051282,0.25,0.2884615384615384
23d3835c,factual_correctness,0.0,0.0,0.54,0.7,0.88
23e10246,faithfulness,1.0,0.4666666666666667,0.5789473684210527,0.5238095238095238,0.5789473684210527
23e10246,factual_correctness,0.17,0.58,0.46,0.45,0.28
241306ce,faithfulness,0.9333333333333332,0.7777777777777778,0.8125,0.8181818181818182,1.0
241306ce,factual_correctness,0.37,0.54,0.39,0.54,0.34
2485f7c7,faithfulness,0.9411764705882352,0.6625,0.4615384615384615,0.6666666666666666,0.3571428571428571
2485f7c7,factual_correctness,0.0,0.94,0.61,0.63,0.64
24ab435b,faithfulness,0.8571428571428571,0.7333333333333333,0.6363636363636364,0.1538461538461538,0.625
24ab435b,factual_correctness,0.12,0.34,0.52,0.53,0.12
24ec0007,faithfulness,1.0,0.0,0.9,0.6666666666666666,0.9333333333333332
24ec0007,factual_correctness,0.73,0.54,0.86,0.67,0.55
25145ece,faithfulness,0.8235294117647058,0.0,0.6818181818181818,0.4666666666666667,0.3529411764705882
25145ece,factual_correctness,0.0,0.0,0.0,0.11,0.0
251b390e,faithfulness,0.9,0.875,0.8,0.9090909090909092,0.0
251b390e,factual_correctness,0.48,0.24,0.58,0.0,0.0
255d5849,faithfulness,1.0,0.2941176470588235,0.8333333333333334,0.7142857142857143,0.6
255d5849,factual_correctness,0.28,0.57,0.4,0.36,0.57
25bf25cd,faithfulness,0.6666666666666666,0.3125,1.0,0.4615384615384615,0.6
25bf25cd,factual_correctness,0.0,0.77,0.78,0.56,0.57
26684676,faithfulness,0.0,0.0,0.25,0.0,0.0
26684676,factual_correctness,0.0,0.11,0.0,0.46,0.11
2668b0b6,faithfulness,0.8571428571428571,0.8333333333333334,0.375,0.75,0.0
2668b0b6,factual_correctness,0.6,0.53,0.93,0.71,0.8
266908f6,faithfulness,1.0,0.6153846153846154,1.0,0.6666666666666666,0.9
266908f6,factual_correctness,0.14,0.0,0.35,0.0,0.0
267f97db,faithfulness,0.9411764705882352,0.1971830985915492,0.48,1.0,0.5689655172413793
267f97db,factual_correctness,0.2,0.6,0.4,0.51,0.37
26c07ecd,faithfulness,0.0,0.21875,0.1052631578947368,0.1428571428571428,0.0
26c07ecd,factual_correctness,0.27,0.6,0.69,0.82,0.24
270dba94,faithfulness,0.875,0.4745762711864407,0.9090909090909092,1.0,0.4814814814814814
270dba94,factual_correctness,0.35,0.83,0.27,0.34,0.49
27a1b65f,faithfulness,0.0666666666666666,0.0277777777777777,0.0,0.025,0.0689655172413793
27a1b65f,factual_correctness,0.59,0.79,0.39,0.96,0.72
282c02f1,faithfulness,0.625,0.6440677966101694,0.5405405405405406,0.5384615384615384,0.6956521739130435
282c02f1,factual_correctness,0.0,0.04,0.0,0.0,0.0
28561000,faithfulness,0.9090909090909092,0.0114942528735632,0.0,0.0754716981132075,0.0
28561000,factual_correctness,0.6,0.79,0.61,0.85,0.3
28aab825,faithfulness,0.0,1.0,0.3333333333333333,1.0,0.0
28aab825,factual_correctness,0.0,0.4,0.0,0.31,0.0
28b470fe,faithfulness,1.0,0.9047619047619048,0.9473684210526316,0.875,0.9166666666666666
28b470fe,factual_correctness,0.74,0.62,0.81,0.7,0.65
28b97122,faithfulness,1.0,1.0,0.5,0.4444444444444444,1.0
28b97122,factual_correctness,0.0,0.89,0.77,0.33,1.0
2916277a,faithfulness,0.8,0.375,0.6666666666666666,0.4285714285714285,1.0
2916277a,factual_correctness,1.0,0.62,0.89,0.83,0.44
29220345,faithfulness,1.0,0.3823529411764705,0.72,0.1666666666666666,0.4
29220345,factual_correctness,0.21,0.89,0.93,0.67,0.8
293fb526,faithfulness,0.3333333333333333,0.2830188679245283,0.0,0.3928571428571428,0.7058823529411765
293fb526,factual_correctness,0.09,0.64,0.56,0.46,0.29
2963b062,faithfulness,0.5833333333333334,1.0,0.5789473684210527,0.8125,1.0
2963b062,factual_correctness,0.32,0.65,0.8,0.78,0.62
29a1955d,faithfulness,0.9333333333333332,0.8333333333333334,0.9090909090909092,0.9545454545454546,1.0
29a1955d,factual_correctness,0.54,0.0,0.52,0.1,0.0
2a8785e8,faithfulness,1.0,1.0,0.9375,1.0,1.0
2a8785e8,factual_correctness,0.31,0.84,0.46,0.88,0.62
2a9ff3c2,faithfulness,0.8,0.7333333333333333,0.4418604651162791,0.6666666666666666,0.6818181818181818
2a9ff3c2,factual_correctness,0.16,0.64,0.57,0.69,0.0
2af10bc3,faithfulness,1.0,0.05,0.1176470588235294,0.75,0.3333333333333333
2af10bc3,factual_correctness,0.08,0.59,0.33,0.2,0.61
2b4d9eea,faithfulness,0.8125,0.3018867924528302,0.0,0.4782608695652174,0.7142857142857143
2b4d9eea,factual_correctness,0.52,0.61,0.64,0.59,0.33
2b5b984e,faithfulness,1.0,0.8571428571428571,0.3636363636363636,0.9047619047619048,1.0
2b5b984e,factual_correctness,0.67,0.86,0.71,0.58,0.75
2b83da40,faithfulness,0.68,0.5340909090909091,0.6818181818181818,0.4166666666666667,0.625
2b83da40,factual_correctness,0.89,0.79,0.73,0.81,0.65
2b9ff3ae,faithfulness,0.625,0.9310344827586208,0.5,0.4285714285714285,0.4
2b9ff3ae,factual_correctness,0.53,0.68,0.56,0.67,0.95
2bc7fa6c,faithfulness,0.6,0.5833333333333334,0.7,0.92,0.8
2bc7fa6c,factual_correctness,0.0,0.14,0.08,0.42,0.09
2c0ce479,faithfulness,1.0,1.0,1.0,0.9375,0.875
2c0ce479,factual_correctness,0.67,0.57,0.75,0.56,0.46
2c377698,faithfulness,0.6363636363636364,0.0,0.4545454545454545,0.6842105263157895,1.0
2c377698,factual_correctness,0.0,0.0,0.6,0.62,0.3
2c45fddc,faithfulness,1.0,0.6595744680851063,0.8571428571428571,0.9333333333333332,1.0
2c45fddc,factual_correctness,0.67,0.57,0.8,0.53,0.0
2c566470,faithfulness,1.0,0.0,1.0,1.0,0.0
2c566470,factual_correctness,0.0,0.0,0.0,0.0,0.0
2ca9d3ed,faithfulness,1.0,0.9090909090909092,1.0,0.9285714285714286,0.875
